date,VV
2015-03-05,-8.091760080030129
2015-05-28,-7.742817566921172
2016-02-28,-8.933779362198328
2016-07-09,-7.40263313723957
2016-07-21,-8.21207923449811
2016-08-02,-8.600089689858596
2016-08-14,-9.030439800537481
2016-08-26,-8.282388143715758
2016-09-07,-8.507301018764323
2016-09-19,-8.798410081642634
2016-10-01,-7.473329595459587
2016-10-13,-8.408095059234965
2016-10-25,-8.953243155737066
2016-11-06,-8.893381395825545
2016-11-18,-8.990668614028337
2016-11-30,-9.216172015632473
2016-12-12,-8.828565479933243
2016-12-24,-9.29774969174555
2017-01-05,-9.30334269178464
2017-01-17,-9.201490749359719
2017-01-29,-9.368200867672222
2017-02-10,-9.397232734190165
2017-03-06,-9.28752947386292
2017-03-18,-9.061106040918075
2017-03-30,-9.258076899655673
2017-04-11,-9.17446061473866
2017-05-05,-9.371536759064057
2017-05-17,-8.939187629537209
2017-05-29,-9.072310746781568
2017-06-10,-8.741370560393282
2017-06-22,-8.55791210293507
2017-07-04,-8.335707710554438
2017-07-16,-6.698937502037884
2017-07-28,-8.41252916760409
2017-08-09,-8.150035749664223
2017-08-21,-7.515902155350064
2017-09-02,-8.154311486460621
2017-09-14,-8.616652451548456
2017-09-26,-7.691070266213774
2017-10-08,-8.112218882652167
2017-10-20,-8.601457438426152
2017-11-01,-8.903095344417254
2017-11-13,-8.966910124104022
2017-11-25,-8.875520607996982
2017-12-07,-9.193718429114616
2017-12-19,-9.214876369633105
2017-12-31,-9.222541244715204
2018-01-12,-9.050427062943058
2018-01-24,-9.407981991887633
2018-02-05,-9.258955171289548
2018-02-17,-9.26455960937381
2018-03-01,-9.174741422762862
2018-03-13,-9.120227417009776
2018-03-25,-8.741284608617338
2018-04-06,-9.090008835217237
2018-04-18,-9.147073075128768
2018-04-30,-9.057743897095033
2018-05-12,-8.927359870608944
2018-05-24,-8.957867397379877
2018-06-05,-9.180995562609441
2018-06-17,-8.865139037822754
2018-06-29,-7.540645214611258
2018-07-11,-7.895120466568555
2018-07-23,-8.369411741637437
2018-08-04,-8.217219935508632
2018-08-16,-7.057767419128022
2018-08-28,-8.140522258556809
2018-09-09,-8.570948198354573
2018-09-21,-7.58738437064856
2018-10-03,-8.387616948997202
2018-10-27,-8.742976348948755
2018-11-08,-8.758852454715274
2018-11-20,-8.968324887648292
2018-12-02,-9.068946782423087
2018-12-14,-9.095219635248426
2018-12-20,-8.416158689893876
2018-12-26,-8.81229940383319
2019-01-07,-8.957115179267742
2019-01-19,-8.951958221384135
2019-01-31,-8.811492112113559
2019-02-12,-8.969241002574499
2019-02-24,-9.194701884468484
2019-03-08,-8.980489419802069
2019-03-20,-8.997567518571831
2019-04-01,-8.926217002797081
2019-04-13,-8.99638167502864
2019-04-25,-9.035992329403369
2019-05-07,-9.053784734199809
2019-05-19,-8.321066370939926
2019-05-31,-8.80050606896768
2019-06-12,-9.05538243039401
2019-06-24,-8.660120931907842
2019-07-30,-6.82306787433219
2019-08-11,-8.193420659217368
2019-08-23,-7.995108661465904
2019-09-04,-7.719740266899952
2019-09-16,-7.55624545023653
2019-09-28,-7.349279707324826
2019-10-04,-8.0044392702545
2019-10-10,-8.159877514941892
2019-10-16,-8.053144449963844
2019-10-22,-7.922935919506309
2019-10-28,-7.942903493504657
2019-11-03,-8.256483817723682
2019-11-09,-8.340866785034015
2019-11-15,-8.35271453309433
2019-11-21,-8.504239411057174
2019-11-27,-8.351199288178645
2019-12-03,-8.490688396674663
2019-12-09,-8.626703292620984
2019-12-15,-8.484135555520716
2019-12-21,-8.390323092183015
2019-12-27,-8.903828981874135
2020-01-02,-8.755313100552877
2020-01-14,-8.754349120455036
2020-01-26,-8.616980963112473
2020-02-07,-8.795487872137373
2020-02-19,-8.572726874067786
2020-03-02,-9.052383843988432
2020-03-14,-8.830539297596893
2020-03-26,-8.864355081639202
2020-04-07,-8.885784513559907
2020-04-19,-8.786822365007499
2020-05-01,-8.902578662921501
2020-05-13,-8.932612326662136
2020-05-25,-8.80803067970121
2020-06-06,-9.04618228598067
2020-06-18,-8.479908838084338
2020-06-30,-8.591713125338053
2020-07-12,-8.553370739561071
2020-07-24,-7.844095539935482
2020-08-05,-7.719716747903047
2020-08-17,-6.3024765074476115
2020-08-29,-7.349642380937833
2020-09-10,-8.13539669689525
2020-09-22,-8.354317532139572
2020-10-04,-8.683296056814962
2020-10-16,-7.425461107171882
2020-10-28,-8.46853356410708
2020-11-09,-8.713327138237391
2020-11-21,-8.784988168419481
2020-11-28,-9.355005362308903
2020-12-03,-8.889896382410509
2020-12-15,-8.951286741323047
2021-01-08,-8.871616308556478
2021-02-01,-8.744011667708152
2021-02-13,-9.166667476020546
2021-02-25,-9.39699243360164
2021-03-09,-9.195482369728472
2021-03-21,-9.16994098558618
2021-04-02,-9.245721680822836
2021-04-14,-8.132198530081837
2021-04-26,-9.082164004453771
2021-05-08,-9.081597125493328
2021-05-20,-7.126912682353327
2021-06-01,-8.425936099718028
2021-06-13,-7.91279025071191
2021-06-25,-8.763036328386995
2021-07-07,-8.692264470828286
2021-07-19,-7.348530421268863
2021-07-31,-8.510513202247779
2021-08-12,-8.478780815645838
2021-08-24,-8.536991484298069
2021-09-05,-7.646362971170717
2021-09-17,-8.283634336670266
2021-09-29,-8.016276570197999
2021-10-11,-8.347692311174978
2021-10-23,-8.714120117924237
2021-11-04,-8.267502801119589
2021-11-16,-8.464434101695009
2021-11-28,-8.95121479639003
2021-12-10,-7.990104218511835
2021-12-22,-9.12435687673458
2022-01-03,-8.900509725345824
2022-01-15,-8.30720082562158
2022-01-27,-9.166560130593474
2022-02-08,-9.137752671680452
2022-02-20,-9.080694863239499
2022-03-04,-9.153260998776483
2022-03-16,-9.093782962685426
2022-03-28,-9.09652044594566
2022-04-09,-9.194941390832097
2022-04-21,-8.97864453963595
2022-05-03,-8.931593686254425
2022-05-15,-9.222079199071468
2022-05-27,-9.09930862703745
2022-06-08,-9.186728558360505
2022-06-20,-7.651367927684461
2022-07-02,-8.359429825979275
2022-07-14,-6.891454922194338
2022-07-16,-7.483501318706009
2022-07-26,-8.390948718908863
2022-08-19,-8.411917434922813
2022-08-31,-7.732035432705298
2022-09-12,-7.821871200193442
2022-09-24,-7.609418570590778
2022-10-06,-7.6859585229329
2022-10-30,-8.520655355618597
2022-11-11,-8.750091477916813
2022-11-23,-8.613113470214033
2022-12-05,-8.968656723055838
2022-12-17,-8.839194853487765
2022-12-29,-8.898024992340314
2023-01-10,-9.277374996846827
2023-01-22,-9.148796966470355
2023-02-03,-9.257095760389493
2023-02-15,-9.074653068407315
2023-02-27,-9.386257510550282
2023-03-11,-9.278068824976867
2023-03-23,-9.12969538785983
2023-04-04,-9.346154682161048
2023-04-16,-9.522800615746661
2023-04-28,-9.191986605461073
2023-05-10,-9.082304906378539
2023-05-22,-8.905486774752092
2023-06-03,-9.260257407900664
2023-06-15,-9.076803966066533
2023-06-27,-8.773829469319594
2023-07-09,-8.564225562872334
2023-07-21,-6.240509681209654
2023-08-02,-8.255841239863068
2023-08-14,-8.70243339384877
2023-08-26,-8.19281828316314
2023-09-07,-7.000062263820374
2023-09-19,-8.581990936293069
2023-10-01,-8.25325543457942
2023-10-13,-8.85598853301789
2023-10-25,-9.025719653139864
2023-11-06,-8.854428533214264
2023-11-18,-8.76225133144841
2023-11-30,-9.066426655755217
2024-01-17,-8.873092063743284
2024-01-29,-9.125677779924327
2024-02-10,-9.09978979639281
2024-02-22,-9.247847989916714
2024-03-05,-9.201872301101325
2024-03-17,-9.247370471032243
2024-03-29,-8.948934521017772
2024-04-22,-8.378865315813972
2024-05-16,-8.85616708288339
2024-05-28,-8.708676177186982
2024-06-09,-8.097101269561218
2024-06-21,-8.3474352308897
2024-07-03,-8.604197038078963
2024-07-15,-7.853022566681735
2024-07-27,-6.6901083175557625
2024-08-20,-8.21049674110038
2024-09-01,-7.21532539797188
2024-09-08,-7.867488123126896
2024-09-13,-8.186722593636757
2024-09-25,-7.360037879223341
2024-10-07,-8.232535336585526
2024-10-19,-8.477425127663802
2024-10-31,-8.792498481712647
2024-11-12,-8.896426383729308
2024-11-24,-9.035121747005633
2024-12-06,-8.372552730854256
2024-12-18,-9.220560913691024
2024-12-30,-8.926953387775573
2025-01-11,-9.188186363707713
2025-01-23,-9.367306147312148
2025-02-04,-9.24162915012362
2025-02-16,-9.079666535210764
2025-02-28,-9.445205786166538
2025-03-12,-9.198275552064313
2025-03-24,-9.304541358755166
2025-04-05,-8.701789963931908
2025-04-17,-9.05978623609964
2025-04-29,-8.903981208558694
2025-05-11,-8.969180173840655
2025-05-23,-8.744891917132767
2025-06-04,-8.535324208135357
2025-06-16,-8.639357040143048
2025-06-28,-8.776798841845968
